Buprenorphine	buprenorphine	True	41
Cefpirome		False	40
Zinc Chloride		False	40
Fenticonazole		False	40
Zinc Bisglycinate		False	40
Fructo Oligosaccharide		False	40
Hyaluronic Acid	hyaluronic acid	True	39
Dextropropoxyphene	dextropropoxyphene	True	39
Mebendazole	mebendazole	True	39
Modafinil	modafinil	True	39
Flucloxacillin Sodium		False	39
Trazodone	trazodone	True	39
Testosterone	testosterone	True	39
Medcover Pharmaceuticals		False	39
Carboplatin	carboplatin	True	39
Ritodrine	ritodrine	True	39
Streptococcus Thermophilus		False	39
Oxaceprol		False	39
Ropinirole	ropinirole	True	38
D-chiro Inositol		False	38
Entecavir	entecavir	True	38
Edaravone		False	38
Allantoin		False	38
Dexlansoprazole	dexlansoprazole	True	38
Organon		False	38
Human Normal Immunoglobulin		False	38
Regalia Pharmaceuticals		False	38
Triclosan		False	38
Bempedoic Acid	bempedoic acid	True	38
Ciclopirox	ciclopirox	True	37
Magnesium Sulphate		False	37
Paliperidone	paliperidone	True	37
Sulphacetamide		False	37
Bupropion	bupropion	True	37
Pepsin		False	37
Elemental Iron		False	37
Primaquine	primaquine	True	37
Citalopram	citalopram	True	36
Nalidixic Acid	nalidixic acid	True	36
Eltrombopag	eltrombopag	True	36
Bevacizumab	bevacizumab	True	36
Rituximab	rituximab	True	35
Brinzolamide	brinzolamide	True	35
Lurasidone	lurasidone	True	35
Amiodarone	amiodarone	True	35
Loxapine	loxapine	True	35
Rivastigmine	rivastigmine	True	35
Rizatriptan	rizatriptan	True	35
Acitretin	acitretin	True	34
Bimatoprost	bimatoprost	True	34
Avibactam	avibactam	True	34
Calcium Leucovorin		False	34
Zinc Gluconate		False	34
Vinpocetine		False	34
Azacitidine	azacitidine	True	34
Ozenoxacin		False	34
Tamoxifen	tamoxifen	True	34
Calcitonin		False	33
Cyclobenzaprine	cyclobenzaprine	True	33
Capecitabine	capecitabine	True	33
Pomalidomide	pomalidomide	True	33
Posaconazole	posaconazole	True	33
Levocloperastine		False	33
Trastuzumab	trastuzumab	True	33
L-alanyl-l-glutamine		False	33
Atlina Life Sciences		False	33
Levodopa	levodopa	True	33
Difluprednate	difluprednate	True	32
Latanoprost	latanoprost	True	32
Gemifloxacin	gemifloxacin	True	32
Camphor		False	32
Zoledronic Acid	zoledronic acid	True	32
Cabergoline	cabergoline	True	32
Stavudine	stavudine	True	32
Efavirenz	efavirenz	True	32
Akcent Healthcare India		False	32
Epalrestat		False	32
Sodium Lactate		False	31
Bortezomib	bortezomib	True	31
Cyclophosphamide	cyclophosphamide	True	31
Perampanel	perampanel	True	31
JNTL Consumer Health		False	31
Calcipotriol	calcipotriol	True	31
Diastase		False	31
Afatinib Dimaleate		False	31
Ketotifen	ketotifen	True	31
Nicotine	nicotine	True	31
Oleum Lini		False	30
Nevirapine	nevirapine	True	30
Adrenaline	epinephrine	True	30
Apremilast	apremilast	True	30
Bethanechol	bethanechol	True	30
Acetazolamide	acetazolamide	True	29
Celecoxib	celecoxib	True	29
Bepotastine		False	29
Asparaginase		False	29
Tetanus Toxoid		False	29
Midazolam	midazolam	True	29
Oseltamivir Phosphate	oseltamivir	True	29
Ulipristal Acetate	ulipristal	True	29
Denosumab	denosumab	True	28
Ertapenem	ertapenem	True	28
Lafutidine		False	28
Camylofin		False	28
Insulin Glargine	insulin glargine	True	28
Terazosin	terazosin	True	28
Olaparib	olaparib	True	28
Emtricitabine	emtricitabine	True	28
Valacyclovir		False	27
Silver Sulfadiazine	silver sulfadiazine	True	27
Bupivacaine	bupivacaine	True	27
Nateglinide	nateglinide	True	27
Nintedanib	nintedanib	True	27
Lovastatin	lovastatin	True	27
Carbidopa	carbidopa	True	27
Hydroxyurea	hydroxyurea	True	26
AS Pharmaceutical		False	26
Sofosbuvir	sofosbuvir	True	26
Bacitracin	bacitracin	True	26
Inositol Nicotinate		False	26
Bromocriptine	bromocriptine	True	26
Ritonavir	ritonavir	True	26
Pentazocine	pentazocine	True	26
Jainson Biotech		False	26
Caspofungin	caspofungin	True	26
Rupatadine		False	26
Diosmin		False	26
Metadoxine		False	26
Collagen Peptide		False	25
Iloperidone	iloperidone	True	25
Remogliflozin Etabonate		False	25
Cisplatin	cisplatin	True	25
Opipramol		False	25
Micafungin	micafungin	True	25
Irinotecan	irinotecan	True	25
Isosorbide Dinitrate	isosorbide dinitrate	True	25
Meclizine	meclizine	True	25
Oxytocin	oxytocin	True	25
Methocarbamol	methocarbamol	True	25
Polmacoxib		False	24
Gleck Pharma		False	24
Hepatitis B Vaccine	hepatitis b vaccine	True	24
Unifaith Biotech		False	24
Mefloquine	mefloquine	True	24
Ranip Drugs		False	24
Metolazone	metolazone	True	24
Oxytetracycline	oxytetracycline	True	24
Ulinastatin		False	24
Pyrantel Pamoate	pyrantel	True	24
Axitinib	axitinib	True	23
Urokinase	urokinase	True	23
Thalidomide	thalidomide	True	23
Mesna		False	23
Sorafenib	sorafenib	True	23
Mediz India Pharma Industries		False	23
Pilocarpine	pilocarpine	True	23
Imeglimin		False	23
Filant		False	23
Haloperidol Decanoate	haloperidol	True	23
Methylphenidate	methylphenidate	True	23
Pimozide	pimozide	True	23
Penicillin G		False	23
Zidovudine	zidovudine	True	23
Clonidine	clonidine	True	23
Gefitinib	gefitinib	True	23
Vitamin A	vitamin a	True	22
Pefloxacin		False	22
Dacarbazine	dacarbazine	True	22
Pazopanib	pazopanib	True	22
Deferasirox	deferasirox	True	22
Probenecid	probenecid	True	22
Enclomiphene		False	22
Clobetasone		False	22
Neostigmine	neostigmine	True	22
Propofol	propofol	True	22
Tenofovir Alafenamide		False	22
Astaxanthin		False	22
Palonosetron	palonosetron	True	22
Dexmedetomidine	dexmedetomidine	True	22
Amphotericin B	amphotericin b	True	22
Famciclovir	famciclovir	True	22
Charcoal		False	22
Avtix Health		False	22
Proanthocyanidin		False	22
Primidone	primidone	True	21
Fosaprepitant	fosaprepitant	True	21
Carbimazole		False	21
Maksal Pharmaceuticals		False	21
Flavoured Mentholated Base		False	21
Seagull Laboratories		False	21
Pharma Lifescience		False	21
Ticarcillin	ticarcillin	True	21
Natamycin		False	21
Prilocaine	prilocaine	True	21
Triclofos		False	21
Human		False	21
Ganciclovir	ganciclovir	True	21
Etoposide	etoposide	True	20
Calcium Polystyrene Sulphonate		False	20
Dill Oil		False	20
Fennel Oil		False	20
Oxiconazole		False	20
Miglitol	miglitol	True	20
Bicalutamide	bicalutamide	True	20
Elagolix	elagolix	True	20
Nimodipine	nimodipine	True	20
Diphtheria Toxoid		False	20
Lapatinib	lapatinib	True	20
Vilazodone	vilazodone	True	20
Nilotinib	nilotinib	True	20
Amoxapine	amoxapine	True	20
Ketamine	ketamine	True	20
Papain		False	20
Pegfilgrastim	pegfilgrastim	True	20
Phenyl Mercuric Nitrate		False	19
Kojic Acid		False	19
Sirolimus	sirolimus	True	19
Insulin Aspart	insulin aspart	True	19
Ceftizoxime	ceftizoxime	True	19
Amantadine	amantadine	True	19
Magnesium Hydroxide	magnesium hydroxide	True	19
Lactobacillus Sporogenes		False	19
Insulin Lispro	insulin lispro	True	19
Polyvinyl Alcohol		False	19
Bambuterol		False	19
Arbutin		False	18
Mulberry Extract		False	18
Degarelix	degarelix	True	18
Eszopiclone	eszopiclone	True	18
Silver Nitrate	silver	True	18
Ifosfamide	ifosfamide	True	18
Amiloride	amiloride	True	18
Cyclopentolate	cyclopentolate	True	18
Ergotamine	ergotamine	True	18
Aloe Vera		False	18
Ethionamide	ethionamide	True	18
Fulvestrant	fulvestrant	True	18
